tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_lon, tweet_lat, tweet_text, tweet_url,label,location
'451285364548722688',Wed Apr 02 09:09:50 +0000 2014,trendinaliaGB,1266803563,en,-0.1271,51.5063,#PrayForChile shows up at this time as Trend in United Kingdom http://t.co/Lx3FL6bvYE,https://twitter.com/trendinaliaGB/status/451285364548722688,Other useful information,Chile
'451297797094916096',Wed Apr 02 09:59:14 +0000 2014,megahn_loraine,141182127,en,121.8707953,17.13352461,ÛÏ@MisterBanatero: #PrayForChile 8.2 earthquake and tsunami warning. http://t.co/cyhuDpM3pSÛ,https://twitter.com/megahn_loraine/status/451297797094916096,Caution and advice,Chile
'451321075880951808',Wed Apr 02 11:31:44 +0000 2014,marite_campos,174121528,en,-71.9709551,-36.4191382,@Victoria_Witter no you're wrong Vicky. Yesterday there was an earthquake in northern Chile. Thank GOD all things are improving.,https://twitter.com/marite_campos/status/451321075880951808,"Personal updates, sympathy, support",Chile
'451359927375003649',Wed Apr 02 14:06:07 +0000 2014,HablameLatiNo,463423924,en,-73.9894031,40.7497071,The massive 8.2 earthquake that struck the coastal region of Chile last night killed 6 people. More info @USATODAY. http://t.co/Asoje5xQHp,https://twitter.com/HablameLatiNo/status/451359927375003649,Injured and dead,Chile
'451616608926982144',Thu Apr 03 07:06:04 +0000 2014,janet_ruegue93,548673063,en,-120.8180892,37.51384961,"ÛÏ@cnnbrk: 7.4-magnitude earthquake struck off coast of Chile tonight, @USGS says, day after 8.2 quake rocked region.Û __F",https://twitter.com/janet_ruegue93/status/451616608926982144,Other useful information,Chile
'451619777492942848',Thu Apr 03 07:18:40 +0000 2014,eq_map_ww,819503082,en,-70.5558,-20.268,"(Updated)M6.5 OFFSHORE TARAPACA, CHILE Depth 22.8km Apr 03, 2014 01:58:31 UTC, Apr 02, 2014 21:58:31 at epicenter http://t.co/LMxNPlQswC",https://twitter.com/eq_map_ww/status/451619777492942848,Caution and advice,Chile
'451625063834345472',Thu Apr 03 07:39:40 +0000 2014,topix_nashville,14423542,en,-86.782056,36.158887,Local Students In Chile Share Experiences From Earthquake http://t.co/8OQ8dldLOn,https://twitter.com/topix_nashville/status/451625063834345472,Other useful information,Chile
'451759680730054657',Thu Apr 03 16:34:35 +0000 2014,cadjdd,289924167,en,-70.89,-20.54,"ML 3.9  OFFSHORE TARAPACA, CHILE: MagnitudeåÊåÊML 3.9RegionåÊåÊOFFSHORE TARAPACA, CHILEDate timeåÊåÊ2014-04-03   16:... http://t.co/4vt2EfA9Ov",https://twitter.com/cadjdd/status/451759680730054657,Other useful information,Chile
'452265127073427456',Sat Apr 05 02:03:03 +0000 2014,Niloko,3096891,en,-72.889158,-41.482569,Earthquake off the coast of Chile http://t.co/xXoBakfBfr,https://twitter.com/Niloko/status/452265127073427456,Other useful information,Chile
'452269718532263936',Sat Apr 05 02:21:18 +0000 2014,eq_map_ww,819503082,en,-71.0773,-19.9752,"M4.3 OFF THE COAST OF TARAPACA, CHILE Depth 15.9km Apr 05, 2014 02:05:45 UTC, Apr 04, 2014 21:05:45 at epicenter http://t.co/2ru4uPG2AM",https://twitter.com/eq_map_ww/status/452269718532263936,Other useful information,Chile
'452272427272126465',Sat Apr 05 02:32:04 +0000 2014,eq_map_ww,819503082,en,-71.2052,-19.9177,"M4.3 OFF THE COAST OF TARAPACA, CHILE Depth 20.1km Apr 05, 2014 02:17:18 UTC, Apr 04, 2014 21:17:18 at epicenter http://t.co/XaDzoOEu3a",https://twitter.com/eq_map_ww/status/452272427272126465,Other useful information,Chile
'452272803773808643',Sat Apr 05 02:33:33 +0000 2014,dbrunet2000,213521922,en,-71.21,-19.92,"mb 4.3  OFF COAST OF TARAPACA, CHILE: MagnitudeåÊåÊmb 4.3RegionåÊåÊOFF COAST OF TARAPACA, CHILEDate timeåÊåÊ2014-04-... http://t.co/MKziQS2xuj",https://twitter.com/dbrunet2000/status/452272803773808643,Other useful information,Chile
'452277201896235008',Sat Apr 05 02:51:02 +0000 2014,LastQuake,203226820,en,-71.44,-32.74,Felt #earthquake M5.4 strikes 109 km NW of #Santiago (#Chile) 28 min ago. Please report to: http://t.co/CNjHIEAqws http://t.co/4v2BGvCO8N,https://twitter.com/LastQuake/status/452277201896235008,Other useful information,Chile
'452284375347265536',Sat Apr 05 03:19:32 +0000 2014,KaroVisualglay,2303453389,en,-70.6687216,-33.38680593,"ªÁ #chile I love you, but enough of #quake",https://twitter.com/KaroVisualglay/status/452284375347265536,"Personal updates, sympathy, support",Chile
'456136150764113920',Tue Apr 15 18:25:07 +0000 2014,QuakesToday,362523555,en,-70.7809,-20.1787,"4.7 magnitude #earthquake. 64 km from Iquique, #Tarapaca, Chile http://t.co/zSXJqisZwg",https://twitter.com/QuakesToday/status/456136150764113920,Caution and advice,Chile
'456703651633827840',Thu Apr 17 08:00:10 +0000 2014,QuakesToday,362523555,en,-70.8982,-19.9019,"4.8 magnitude #earthquake. 84 km from #Iquique, Tarapaca, Chile http://t.co/8XPCu3WeRV",https://twitter.com/QuakesToday/status/456703651633827840,Other useful information,Chile
'456705432464011265',Thu Apr 17 08:07:14 +0000 2014,from___japan,522597443,en,140.9570496,37.64217335,"Û#USGS #BreakingÛÔ M 4.8, 86km WNW of Iquique, Chile http://t.co/4uXnUT2KvN #PastHour #48 #earthquake #tsunami #prayfromjapan",https://twitter.com/from___japan/status/456705432464011265,Caution and advice,Chile
